id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm
1062095,Home in Ta' Kerċem · ★4.78 · 3 bedrooms · 4 beds · 4.5 baths,5846792,Anthony Peter,Kercem,36.03814,14.2187,Entire home/apt,150,3,71,1,99,5
1090061,Rental unit in Il-Mellieħa · ★4.44 · 3 bedrooms · 5 beds · 1.5 baths,5988277,Tony,Mellieha,35.9658,14.3598,Entire home/apt,115,4,39,2,59,0
1097214,Townhouse in Floriana · ★4.71 · 1 bedroom · 1 bed · 1 bath,578865,Alan,Floriana,35.89133,14.50557,Entire home/apt,59,6,99,7,169,0
1099375,Rental unit in Tas-Sliema · ★4.55 · 2 bedrooms · 2 beds · 1 shared bath,5772496,Desiree,Sliema,35.9084,14.50279,Private room,36,3,247,2,339,15
1109646,Home in St Paul's Bay · ★4.73 · 2 bedrooms · 4 beds · 1 bath,6090982,Daniel,San Pawl il-Bahar,35.95053,14.387,Entire home/apt,110,4,118,1,167,5
1109764,Home in Nadur · ★4.83 · 3 bedrooms · 5 beds · 4 baths,28733688,Alexandra,Nadur,36.04229,14.29682,Entire home/apt,255,2,29,8,350,6
1115901,Home in San Ġiljan · ★4.76 · 1 bedroom · 2 beds · 2 baths,794193,Freda,San Giljan,35.91365,14.48627,Private room,35,3,145,1,166,13
1119284,Rental unit in Madliena · ★4.88 · 1 bedroom · 1 bed · 2 baths,833949,Stefan,Swieqi,35.92701,14.46155,Private room,77,2,40,1,365,0
1122617,Rental unit in St Julian's · ★4.65 · 1 bedroom · 3 beds · 2 baths,6158728,Ian,San Giljan,35.91518,14.4895,Private room,90,5,22,80,365,1
1125894,Condo in Tas-Sliema · ★4.86 · 2 bedrooms · 3 beds · 2 baths,908584,Ian,Sliema,35.91402,14.49844,Entire home/apt,94,3,266,2,127,34
